trailName,topElevation,bottomElevation,verticalRise,planLength,slopeLength,averageWidth,slopeArea,averageGrade,maxGrade,abilityLevel
Anticipation,"11,430","10,790",640,"2,972","3,107",222,15.8,22%,40%,Intermediate
Spillway,"11,440","10,729",711,"2,756","2,858",202,13.3,26%,41%,Intermediate
Upper Fox Trot,"10,928","10,921",7,611,689,54,0.9,10%,10%,Intermediate
Lower Fox Trot,"10,847","10,793",54,"1,207","1,223",59,1.7,12%,20%,Intermediate
Anticipation Flats,"10,790","10,525",265,"3,380","3,465",124,9.9,8%,13%,Intermediate
Wayback Access,"10,525","10,369",156,"1,183","1,208",56,1.5,10%,10%,Intermediate
Wayback Lift Line,"11,426","10,381","1,045","3,566","3,783",76,6.6,29%,49%,Advanced Intermediate
Black Forest,"11,929","11,497",432,"1,705","1,771",263,10.7,25%,32%,Advanced Intermediate
Timberwolf,"11,509","11,003",507,"1,656","1,740",128,5.1,31%,47%,Advanced Intermediate
Bushwhacker,"11,504","10,862",642,"1,802","1,946",100,4.5,36%,56%,Expert
Badger,"11,495","10,822",673,"1,931","2,076",110,5.2,35%,49%,Advanced Intermediate
Coyote Caper,"10,999","10,532",466,"4,332","4,411",110,11.2,11%,18%,Advanced Intermediate
"Oh, Bob!","11,590","10,548","1,043","3,989","4,152",108,10.3,26%,45%,Intermediate
Elk Run,"11,908","10,613","1,295","4,975","5,260",195,23.5,26%,42%,Intermediate
Big Horn,"11,629","10,689",940,"3,380","3,734",138,11.8,28%,40%,Intermediate
Porcupine,"11,679","10,761",917,"3,397","3,722",164,14,27%,42%,Intermediate
Lodgepole,"11,056","10,533",523,"6,195","6,224",20,2.8,8%,18%,Intermediate
The Willows,"10,852","10,530",322,"4,414","4,525",121,12.6,7%,18%,Intermediate
Escape,"10,987","10,866",121,411,429,20,0.2,29%,32%,Intermediate
Magic Carpet 1,"9,283","9,278",6,125,125,153,0.4,4%,4%,Beginner
Magic Carpet 11,"9,322","9,280",42,395,398,240,2.2,11%,11%,Beginner
Magic Carpet 111,"9,310","9,280",31,266,268,124,0.8,11%,11%,Beginner
Kokomo (Carpet IV),"11,620","11,575",45,359,362,151,1.3,13%,13%,Novice
Sunkid 1,"9,360","9,348",11,145,146,79,0.3,8%,8%,Beginner
